time_s,speed_kmph
0,0
1,2
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,0
18,3
19,5
20,13
21,14
22,13
23,11
24,9
25,8
26,7
27,7
28,5
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,7
82,16
83,29
84,47
85,65
86,77
87,90
88,103
89,112
90,120
91,132
92,140
93,138
94,127
95,115
96,101
97,86
98,76
99,65
100,59
101,60
102,65
103,76
104,95
105,117
106,136
107,152
108,166
109,178
110,187
111,195
112,201
113,209
114,212
115,217
116,221
117,205
118,186
119,163
120,138
121,119
122,103
123,87
124,76
125,67
126,58
127,60
128,65
129,68
130,64
131,59
132,56
133,57
134,66
135,83
136,103
137,115
138,123
139,133
140,143
141,151
142,158
143,157
144,162
145,171
146,181
147,189
148,188
149,168
150,141
151,117
152,100
153,86
154,74
155,73
156,89
157,108
158,129
159,141
160,137
161,128
162,119
163,117
164,123
165,125
166,120
167,119
168,123
169,124
170,119
171,119
172,120
173,122
174,132
175,145
176,155
177,167
178,170
179,150
180,128
181,109
182,102
183,107
184,114
185,111
186,117
187,133
188,149
189,164
190,175
191,185
192,177
193,152
194,128
195,109
196,89
197,69
198,56
199,60
200,72
201,90
202,106
203,113
204,114
205,122
206,132
207,123
208,110
209,98
210,87
211,89
212,104
213,122
214,140
215,156
216,166
217,152
218,132
219,120
220,116
221,127
222,141
223,140
224,137
225,131
226,120
227,105
228,91
229,78
230,68
231,72
232,85
233,105
234,124
235,143
236,159
237,172
238,183
239,193
240,201
241,207
242,213
243,218
244,221
245,204
246,179
247,156
248,131
249,112
250,95
251,78
252,66
253,63
254,68
255,75
256,91
257,112
258,134
259,151
260,166
261,177
262,189
263,199
264,204
265,211
266,215
267,220
268,225
269,223
270,201
271,169
272,140
273,115
274,101
275,86
276,74
277,66
278,63
279,62
280,64
281,71
282,68
283,62
284,59
285,58
286,62
287,71
288,93
289,108
290,120
291,133
292,145
293,151
294,156
295,161
296,166
297,175
298,184
299,191
300,197
301,183
302,155
303,127
304,102
305,86
306,75
307,76
308,93
309,111
310,130
311,145
312,143
313,132
314,127
315,125
316,124
317,125
318,120
319,122
320,129
321,132
322,120
323,117
324,118
325,125
326,138
327,149
328,160
329,168
330,151
331,131
332,118
333,104
334,94
335,93
336,100
337,106
338,114
339,117
340,133
341,148
342,161
343,172
344,179
345,165
346,146
347,122
348,100
349,83
350,65
351,53
352,57
353,75
354,93
355,104
356,110
357,114
358,125
359,136
360,122
361,107
362,96
363,88
364,90
365,105
366,124
367,141
368,155
369,162
370,145
371,129
372,125
373,125
374,133
375,138
376,137
377,137
378,125
379,113
380,98
381,86
382,74
383,68
384,71
385,89
386,107
387,128
388,146
389,163
390,175
391,187
392,196
393,205
394,213
395,218
396,225
397,229
398,213
399,181
400,152
401,124
402,102
403,84
404,68
405,58
406,62
407,66
408,80
409,103
410,124
411,143
412,159
413,173
414,184
415,194
416,202
417,209
418,216
419,219
420,225
421,222
422,202
423,182
424,157
425,131
426,107
427,93
428,81
429,69
430,59
431,60
432,62
433,64
434,72
435,66
436,57
437,52
438,58
439,75
440,97
441,114
442,126
443,139
444,144
445,144
446,145
447,151
448,161
449,173
450,182
451,190
452,194
453,179
454,152
455,126
456,101
457,81
458,69
459,63
460,69
461,87
462,109
463,129
464,141
465,131
466,125
467,122
468,121
469,119
470,123
471,122
472,124
473,131
474,128
475,117
476,109
477,112
478,120
479,132
480,145
481,158
482,170
483,160
484,141
485,123
486,110
487,105
488,112
489,116
490,111
491,120
492,137
493,153
494,167
495,178
496,184
497,164
498,136
499,114
500,97
501,83
502,71
503,58
504,51
505,61
506,80
507,100
508,113
509,117
510,119
511,131
512,135
513,121
514,107
515,95
516,90
517,99
518,116
519,133
520,149
521,158
522,149
523,137
524,126
525,119
526,124
527,136
528,141
529,139
530,127
531,117
532,105
533,94
534,83
535,72
536,66
537,66
538,74
539,91
540,114
541,136
542,152
543,167
544,178
545,189
546,199
547,207
548,214
549,220
550,224
551,217
552,193
553,163
554,135
555,113
556,96
557,77
558,59
559,52
560,58
561,51
562,54
563,69
564,85
565,101
566,119
567,135
568,151
569,166
570,178
571,189
572,197
573,204
574,210
575,216
576,220
577,219
578,199
579,174
580,151
581,132
582,112
583,94
584,77
585,65
586,57
587,57
588,58
589,63
590,73
591,70
592,56
593,51
594,58
595,69
596,91
597,111
598,124
599,136
600,147
601,149
602,153
603,160
604,167
605,178
606,186
607,193
608,195
609,178
610,154
611,126
612,96
613,74
614,64
615,68
616,81
617,100
618,121
619,139
620,137
621,130
622,122
623,119
624,117
625,117
626,113
627,111
628,110
629,113
630,114
631,104
632,105
633,106
634,104
635,99
636,100
637,109
638,124
639,139
640,144
641,132
642,120
643,110
644,99
645,91
646,98
647,104
648,99
649,96
650,104
651,122
652,140
653,155
654,165
655,176
656,172
657,156
658,136
659,111
660,96
661,80
662,63
663,58
664,61
665,79
666,97
667,108
668,112
669,117
670,127
671,126
672,114
673,102
674,93
675,89
676,90
677,104
678,122
679,138
680,150
681,154
682,142
683,129
684,118
685,118
686,129
687,135
688,127
689,118
690,109
691,103
692,96
693,89
694,81
695,72
696,63
697,54
698,47
699,50
700,54
701,50
702,46
703,44
704,41
705,39
706,34
707,37
708,38
