,0,0.657,2.614,5.825,10.214,15.677,22.078,24.97,28.542,33.051,39.184,48.485,62.616,83.901
0,47.17527209,47.17527209,56.97783188,51.20772293,43.81534498,36.71691214,30.02605061,27.36544111,24.32701552,21.33464115,18.21248546,15.29111894,12.1104573,7.813249872
59.4776,47.17527209,47.17527209,56.97783188,51.20772293,43.81534498,36.71691214,30.02605061,27.36544111,24.32701552,21.33464115,18.21248546,15.29111894,12.1104573,7.813249872
237.9104,49.07667999,49.07667999,71.74128501,74.76737471,72.39119606,67.85361916,61.8621936,58.98586894,55.31579531,51.32991048,46.58133552,41.54113686,35.25480068,25.15113178
535.2984,47.38723678,47.38723678,74.28097738,81.24714143,82.11162475,80.40060412,76.95761745,75.04798592,72.41998957,69.43399222,65.49553769,60.94405989,54.60600795,42.75224422
951.6417,45.55830209,45.55830209,74.41721069,83.37165982,85.9260307,85.82397009,84.06004439,82.88710224,81.15885956,79.17597347,76.32264831,72.83503753,67.5773414,56.62266703
1486.94,43.87458531,43.87458531,73.88366614,84.05981702,87.61375904,88.45987471,87.72127699,87.03809583,85.89612805,84.63118483,82.60118196,80.03074825,75.89152283,66.60392188
2141.194,42.36603625,42.36603625,73.12993643,84.16695776,88.38949577,89.8466121,89.76702764,89.39655493,88.64526505,87.86552663,86.42557874,84.52982681,81.29149775,73.6204269
2914.403,41.00746614,41.00746614,72.30289088,84.00436948,88.71895236,90.60245352,91.0285502,90.81502771,90.5609657,89.89154803,88.86589802,87.45857034,84.89472584,78.57091281
3926.631,39.6244882,39.6244882,71.35163925,83.66034691,88.807216,91.04419875,91.86039177,91.90583233,91.75401253,91.35089047,90.64612744,89.62965331,84.29594767,
4938.859,38.51439406,38.51439406,70.52148997,83.28294318,88.74348158,91.26079495,92.33164859,92.44173156,92.4358744,92.17633887,91.4293146,86.9033387,,
5951.087,37.06552019,37.06552019,69.39719807,82.73040715,88.60462135,91.34353617,92.46801455,92.57017514,92.42892213,91.7956317,88.19260558,,,
6963.315,34.04749835,34.04749835,68.15557672,82.10977919,88.25090414,91.0711037,92.07546104,92.05226814,91.61141366,88.62301686,,,,
7975.544,34.16212597,34.16212597,67.01015293,81.38324336,87.73839813,90.60013989,91.42882512,91.15668898,88.68733929,,,,,
8987.772,33.07487287,33.07487287,65.95563563,80.66715254,87.20059112,90.07450802,90.55591351,88.57312469,,,,,,
10000,32.16335057,32.16335057,65.03023451,80.01322835,86.68771957,89.52891908,88.21876996,,,,,,,
