,0,10,20,30,40,50,60,70,80,90
0,90,90,90,90,90,90,90,90,90,90
100,90,90,90,90,90,90,90,90,90,90
200,90,90,90,90,90,90,90,90,90,90
300,90,86.5886,78.7639,75.0395,69.3414,64.6791,59.3583,54.5127,90,90
400,90,87.5904,81.7257,78.6386,74.2617,69.9138,65.3693,60.8219,90,90
500,90,88.592,84.853,82.2181,79.1587,75.1139,71.3791,67.0635,90,90
600,90,89.2717,86.0722,83.6396,80.822,76.8798,73.5638,68.978,90,90
700,90,89.9664,87.2914,85.061,82.5232,78.6754,75.5902,70.4274,90,90
800,90,90.8003,88.5107,86.4825,84.2244,80.471,77.6166,71.5077,90,90
900,90,91.6343,89.7435,87.9039,85.9138,82.2666,79.6429,71.6096,90,90
1000,90,89.1225,90.8481,89.2042,87.5995,84.0622,81.6684,71.7833,90,90
1100,90,89.0501,91.1819,89.8944,88.1795,84.7963,82.4464,72.0964,90,90
1200,90,89.1251,91.5837,90.4038,88.7592,85.5985,83.2244,72.4095,90,90
1300,90,89.5479,91.9855,90.8142,89.3388,86.4008,84.0024,72.7226,90,90
1400,90,89.9707,92.3872,91.2247,89.9134,87.2031,84.7804,90,90,90
1500,90,91.5822,93.755,92.0449,90.3399,89.3438,85.2915,90,90,90
1600,90,92.9511,95.7831,92.4241,90.672,89.6754,85.6046,90,90,90
1700,90,93.614,95.77,92.7938,91.0259,89.8585,85.9177,90,90,90
1800,90,93.7542,95.183,93.1635,91.2942,90.0416,86.2308,90,90,90
1900,90,93.2839,94.5959,93.5321,91.5392,90.2247,86.5439,90,90,90
2000,90,92.7556,94.0089,93.8383,91.7029,90.4847,86.857,90,90,90
2100,90,92.7014,93.9248,93.8188,92.121,90.8332,87.1701,90,90,90
2200,90,92.582,93.8536,93.783,92.5967,91.0357,87.4832,90,90,90
2300,90,92.4629,93.7824,93.7472,93.0724,91.2382,87.7963,90,90,90
2400,90,92.354,93.7112,93.7114,93.5481,91.4407,90,90,90,90
2500,90,92.2451,93.7006,94.4514,94.0238,91.6432,90,90,90,90
2600,90,92.1673,93.8831,95.1364,94.1008,91.7514,90,90,90,90
2700,90,92.0947,94.1104,95.0048,94.1086,91.9725,90,90,90,90
2800,90,92.0221,94.3376,94.8733,94.1164,91.4739,90,90,90,90
2900,90,91.9495,94.5649,94.7417,94.1171,91.1205,90,90,90,90
3000,90,92.0203,94.6027,94.7615,94.0693,90.8474,90,90,90,90
3100,90,90.9874,94.2379,94.7713,93.1126,90.4253,90,90,90,90
3200,90,91.1871,94.1459,94.665,92.7337,90.1397,90,90,90,90
3300,90,91.3869,94.1385,94.5588,92.3802,90,90,90,90,90
3400,90,91.5866,94.1796,94.4526,92.0268,90,90,90,90,90
3500,90,92.0739,95.0711,94.3462,91.7614,90,90,90,90,90
3600,90,92.9342,94.9248,94.1175,91.5037,90,90,90,90,90
3700,90,92.5795,94.7605,93.7158,91.1136,90,90,90,90,90
3800,90,92.2248,94.5962,93.314,90.6493,90,90,90,90,90
3900,90,91.8701,94.432,92.9331,90.185,90,90,90,90,90
4000,90,92.7059,94.1361,92.6753,90.021,90,90,90,90,90
4100,90,92.4259,93.732,92.4176,89.8774,90,90,90,90,90
4200,90,91.6705,93.4193,92.16,90,90,90,90,90,90
4300,90,90.9151,93.1066,91.8019,90,90,90,90,90,90
4400,90,90.1597,92.7943,91.3376,90,90,90,90,90,90
4500,90,91.428,92.587,90.8733,90,90,90,90,90,90
4600,90,92.6357,93.2138,90.4089,90,90,90,90,90,90
4700,90,91.86,92.9792,90.0459,90,90,90,90,90,90
4800,90,91.0843,92.7074,89.9023,90,90,90,90,90,90
4900,90,90.3086,92.3709,89.7587,90,90,90,90,90,90
5000,90,89.533,92.0343,89.6151,90,90,90,90,90,90
5100,90,89.3417,92.0565,90,90,90,90,90,90,90
5200,90,89.1504,91.6825,90,90,90,90,90,90,90
5300,90,88.9591,91.3086,90,90,90,90,90,90,90
5400,90,88.7678,90.9346,90,90,90,90,90,90,90
5500,90,88.5798,90.3232,90,90,90,90,90,90,90
5600,90,88.2381,90.3247,90,90,90,90,90,90,90
5700,90,87.9431,90.023,90,90,90,90,90,90,90
5800,90,86.0269,89.7825,90,90,90,90,90,90,90
5900,90,90,90,90,90,90,90,90,90,90
6000,90,90,90,90,90,90,90,90,90,90
6100,90,90,90,90,90,90,90,90,90,90
6200,90,90,90,90,90,90,90,90,90,90
6300,90,90,90,90,90,90,90,90,90,90
6400,90,90,90,90,90,90,90,90,90,90
6500,90,90,90,90,90,90,90,90,90,90
6600,90,90,90,90,90,90,90,90,90,90
6700,90,90,90,90,90,90,90,90,90,90
6800,90,90,90,90,90,90,90,90,90,90
6900,90,90,90,90,90,90,90,90,90,90
7000,90,90,90,90,90,90,90,90,90,90
