,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,86.1,86.1,88,86.1,85.3,84.1,80.8,78.8,78,75.9,73.6,71.4,69.1,66.1,63.4,62.7,58.1,54.3,52.8,49.5,
500,86.1,86.1,88,86.1,85.3,84.1,80.8,78.8,78,75.9,73.6,71.4,69.1,66.1,63.4,62.7,58.1,54.3,52.8,49.5,
1000,87.1,87.1,90,90.5,90,89,87.8,86.7,85.9,84.5,83.2,81.5,79.8,77.6,75.4,70.2,71,67.6,77.3,,
1500,87.6,87.6,91.2,91.9,91.6,91,90.3,89.7,88.7,87.7,86.7,85.3,83.9,82.1,81.4,78.5,76,73.5,71.5,,
2000,88.2,88.2,92.3,92.4,92.6,92.1,91.6,90.8,90.3,89.5,88.3,87.2,86.2,84.7,82.7,80.5,79.6,76.1,75.4,,
2500,88.1,88.1,91.3,93.3,92.7,92.1,92.2,91.2,91.1,90.4,89.3,88,86.6,86.4,83.5,73.8,,,,,
3000,86.9,86.9,92.3,92.8,92.9,92.6,92.2,91.7,91,90.3,89.2,87.8,85.5,78.6,,,,,,,
3500,87.4,87.4,92.2,92.3,92.8,92.5,91.9,90.6,89.7,87.7,84.5,80.1,,,,,,,,,
4000,86.6,86.6,90.4,91.8,91.4,91.1,90.8,89.1,86.2,85.2,82.2,,,,,,,,,,
4500,83.5,83.5,89,90.3,90.9,90.4,88.7,85.3,81.9,,,,,,,,,,,,
5000,77.3,77.3,86.9,88.9,88.6,88.9,86.1,82.3,82.6,,,,,,,,,,,,
5500,79.1,79.1,88.4,89.2,88.8,87.9,84,82.8,,,,,,,,,,,,,
6000,79,79,84.7,87.2,87.1,85.8,83.1,,,,,,,,,,,,,,
6500,75.8,75.8,84.3,86.4,86.8,83.4,82.6,,,,,,,,,,,,,,
6750,74,74,84,86.1,85,82.6,,,,,,,,,,,,,,,
